dataset,exp,fuzzy_model,rows,exact_match,bow_match,mean_prompt_tokens,mean_completion_tokens,mean_length_delta,bow_minus_exact
agreement_exp,agreement,gpt-5,6720,0.4732142857142857,0.4733630952380952,1493.273511904762,3770.0866071428572,-0.12767857142857142,0.00014880952380952328
agreement_exp,agreement,gpt-5-mini,6720,0.4686011904761905,0.4686011904761905,1493.273511904762,3038.513244047619,-0.1305059523809524,0.0
agreement_exp,agreement,gpt-5-nano,6720,0.32261904761904764,0.32276785714285716,1493.273511904762,7277.348511904762,-0.1818452380952381,0.00014880952380952328
orthography_exp,orthography,gpt-5,360,0.3333333333333333,0.37222222222222223,132983.66666666666,7625.05,-0.9833333333333333,0.03888888888888892
orthography_exp,orthography,gpt-5-nano,360,0.0,0.005555555555555556,132983.66666666666,4063.9805555555554,5.927777777777778,0.005555555555555556
size_exp,size,gpt-5,1680,0.8214285714285714,0.861904761904762,46302.79047619048,5712.583928571428,-0.11428571428571428,0.040476190476190554
size_exp,size,gpt-5-mini,1680,0.506547619047619,0.5517857142857143,46302.79047619048,5126.3059523809525,-0.38035714285714284,0.0452380952380953
size_exp,size,gpt-5-nano,1680,0.016666666666666666,0.32083333333333336,46302.79047619048,6245.759523809524,1.6976190476190476,0.3041666666666667
wordorder_exp,wordorder,gpt-5,720,0.6069444444444444,0.6819444444444445,119712.57638888889,6946.445833333333,-0.25,0.07500000000000007
wordorder_exp,wordorder,gpt-5-nano,720,0.0,0.0,119712.57638888889,4688.279166666666,2.548611111111111,0.0
wordorder_large_exp,wordorder,gpt-5,5040,0.692063492063492,0.6984126984126984,38574.84007936508,5781.834325396825,-0.11210317460317461,0.006349206349206327
wordorder_large_exp,wordorder,gpt-5-mini,5040,0.5232142857142857,0.5390873015873016,38574.84007936508,4885.225595238096,-0.27976190476190477,0.015873015873015817
wordorder_large_exp,wordorder,gpt-5-nano,3360,0.18392857142857144,0.34345238095238095,38590.25297619047,6258.437202380952,0.046130952380952384,0.1595238095238095
