exp,error_family,count,total,share
agreement,extra_words,275,4052,0.06786771964461995
agreement,hallucinated_vocab,30,4052,0.007403751233958539
agreement,omission,921,4052,0.22729516288252716
agreement,recall_error,1057,4052,0.2608588351431392
agreement,source_vocab_error,1767,4052,0.4360809476801579
agreement,word_order_error,1,4052,0.00024679170779861795
orthography,extra_words,23,538,0.04275092936802974
orthography,hallucinated_vocab,146,538,0.27137546468401486
orthography,omission,92,538,0.17100371747211895
orthography,orthography_error,156,538,0.2899628252788104
orthography,recall_error,15,538,0.027881040892193308
orthography,source_vocab_error,90,538,0.16728624535315986
orthography,word_order_error,14,538,0.026022304832713755
size,extra_words,26,347,0.07492795389048991
size,hallucinated_vocab,26,347,0.07492795389048991
size,omission,91,347,0.2622478386167147
size,recall_error,55,347,0.1585014409221902
size,source_vocab_error,80,347,0.23054755043227665
size,word_order_error,68,347,0.19596541786743515
wordorder,extra_words,27,348,0.07758620689655173
wordorder,hallucinated_vocab,17,348,0.04885057471264368
wordorder,omission,97,348,0.27873563218390807
wordorder,recall_error,45,348,0.12931034482758622
wordorder,source_vocab_error,103,348,0.2959770114942529
wordorder,word_order_error,54,348,0.15517241379310345
